,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__decision_function_shape,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2505812644958496,0.0036096342928870822,0.04748039245605469,0.00039173803278110805,0.001,balanced,ovo,linear,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'linear'}",0.9869466515323496,0.9863791146424518,0.9886492622020431,0.9892167990919409,0.9892106757524134,0.9880805006442397,0.0011893096974827425,53
1,0.3595428943634033,0.003108846755990586,0.07082595825195312,0.0006275334363489033,0.001,balanced,ovo,poly,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'poly'}",1.0,0.9954597048808173,0.9982973893303064,0.9994324631101021,0.997160704145372,0.9980700522933196,0.0016293171073014907,39
2,0.7245837211608886,0.0046960791881651065,0.469807767868042,0.026921200388820815,0.001,balanced,ovo,rbf,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'rbf'}",0.996594778660613,0.9931895573212258,0.9948921679909194,0.996594778660613,0.9960249858035207,0.9954592536873783,0.0012939856675070402,43
3,1.1870271205902099,0.021111519626609416,0.22653765678405763,0.0009120802681843684,0.001,balanced,ovo,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'sigmoid'}",0.9841089670828603,0.9841089670828603,0.9858115777525539,0.9880817253121453,0.9863713798977853,0.9856965234256411,0.0014965645377681893,59
4,0.25324039459228515,0.008185223667840264,0.047461843490600585,0.0004574595523949911,0.001,balanced,ovr,linear,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'linear'}",0.9869466515323496,0.9863791146424518,0.9886492622020431,0.9892167990919409,0.9892106757524134,0.9880805006442397,0.0011893096974827425,53
5,0.3592263698577881,0.002992972541416565,0.07092599868774414,0.0005585308944142339,0.001,balanced,ovr,poly,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'poly'}",1.0,0.9954597048808173,0.9982973893303064,0.9994324631101021,0.997160704145372,0.9980700522933196,0.0016293171073014907,39
6,0.7223270893096924,0.005930278175422057,0.49007472991943357,0.03775355414409712,0.001,balanced,ovr,rbf,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'rbf'}",0.996594778660613,0.9931895573212258,0.9948921679909194,0.996594778660613,0.9960249858035207,0.9954592536873783,0.0012939856675070402,43
7,1.1851890563964844,0.021031483131687647,0.22591004371643067,0.000330394462528688,0.001,balanced,ovr,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'sigmoid'}",0.9841089670828603,0.9841089670828603,0.9858115777525539,0.9880817253121453,0.9863713798977853,0.9856965234256411,0.0014965645377681893,59
8,0.21772322654724122,0.0038501090034391804,0.04206581115722656,0.0003342154125017312,0.001,,ovo,linear,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'linear'}",0.9994324631101021,0.9971623155505108,0.9971623155505108,0.9994324631101021,0.9977285633162976,0.9981836241275047,0.001040424948729032,37
9,0.2635836124420166,0.0006168179289520853,0.05718040466308594,0.00026613797877861063,0.001,,ovo,poly,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'poly'}",0.9892167990919409,0.9824063564131669,0.9858115777525539,0.9880817253121453,0.9846678023850085,0.9860368521909632,0.0024248345886329335,57
10,0.2845312118530273,0.008290605734339958,0.21523771286010743,0.01635247277982935,0.001,,ovo,rbf,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'rbf'}",0.8683314415437003,0.8683314415437003,0.8677639046538025,0.8677639046538025,0.8682566723452584,0.8680894729480528,0.00026722375247246165,61
11,0.3254683017730713,0.003214915421565053,0.06954092979431152,0.00015724383296910574,0.001,,ovo,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'sigmoid'}",0.8683314415437003,0.8683314415437003,0.8677639046538025,0.8677639046538025,0.8682566723452584,0.8680894729480528,0.00026722375247246165,61
12,0.21804485321044922,0.002217208361300246,0.04265775680541992,0.0009370062682481289,0.001,,ovr,linear,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'linear'}",0.9994324631101021,0.9971623155505108,0.9971623155505108,0.9994324631101021,0.9977285633162976,0.9981836241275047,0.001040424948729032,37
13,0.27038989067077634,0.009441546434487292,0.058406925201416014,0.0014129443410601488,0.001,,ovr,poly,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'poly'}",0.9892167990919409,0.9824063564131669,0.9858115777525539,0.9880817253121453,0.9846678023850085,0.9860368521909632,0.0024248345886329335,57
