,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__decision_function_shape,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,194.2983036518097,94.59547781581766,4.171716260910034,0.07513049053255538,0.001,balanced,ovo,linear,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,195.79981331825257,70.92336355084038,9.611029720306396,0.06511786024518441,0.001,balanced,ovo,poly,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'poly'}",0.997264277582369,0.9973492379058979,0.9970603728058997,0.9972302934529574,0.9975700934579439,0.9972948550410136,0.0001666125927778856,63
2,99.64607815742492,19.86731395266705,44.07691369056702,0.5634256294919562,0.001,balanced,ovo,rbf,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'rbf'}",0.9985556745000085,0.9987255951470663,0.9987425872117721,0.9986066506941258,0.9987595581988106,0.9986780131503566,8.14159643733662e-05,59
3,266.0142485141754,191.1860501364844,19.432860994338988,0.13143115325216514,0.001,balanced,ovo,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'sigmoid'}",0.9998130872882364,0.9996771507705902,0.9998980476117653,0.9998640634823538,0.9998980458793543,0.9998300790064599,8.254687823824255e-05,53
4,206.8400668621063,95.83095713672571,4.1783802032470705,0.03629110572529061,0.001,balanced,ovr,linear,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
5,188.86182379722595,63.83383928297752,9.615565967559814,0.0769857453890636,0.001,balanced,ovr,poly,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'poly'}",0.997264277582369,0.9973492379058979,0.9970603728058997,0.9972302934529574,0.9975700934579439,0.9972948550410136,0.0001666125927778856,63
6,98.55762147903442,19.8170262563336,43.45600366592407,0.4773504541099939,0.001,balanced,ovr,rbf,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'rbf'}",0.9985556745000085,0.9987255951470663,0.9987425872117721,0.9986066506941258,0.9987595581988106,0.9986780131503566,8.14159643733662e-05,59
7,248.6135323047638,166.6512208653306,19.455226945877076,0.14982184731768972,0.001,balanced,ovr,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'sigmoid'}",0.9998130872882364,0.9996771507705902,0.9998980476117653,0.9998640634823538,0.9998980458793543,0.9998300790064599,8.254687823824255e-05,53
8,15.883581495285034,0.22412487020091987,2.6736520290374757,0.014019627042358098,0.001,,ovo,linear,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
9,41.72570562362671,0.5636551377222899,7.726525115966797,0.023414136063670675,0.001,,ovo,poly,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'poly'}",0.9992863332823572,0.9992693412176513,0.9995242221882381,0.999609182511767,0.9994562446898896,0.9994290647779807,0.00013275539456444684,57
10,52.84464902877808,0.1778596517488802,30.01735954284668,0.055555772761379185,0.001,,ovo,rbf,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'rbf'}",0.9993543015411803,0.9993373094764745,0.9995751983823554,0.9996261745764727,0.9995412064570943,0.9994868380867153,0.00011840849640469343,55
11,102.47422757148743,0.49276741462038676,11.610426139831542,0.020004944089326196,0.001,,ovo,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'sigmoid'}",0.998283801464716,0.9987595792764778,0.9986406348235374,0.9987255951470663,0.998623619371283,0.9986066460166161,0.00016923913026423582,61
12,15.927734136581421,0.13480016290670402,2.6784688949584963,0.015184651822024203,0.001,,ovr,linear,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
13,41.81226482391357,0.3794340566574604,7.7316028594970705,0.006128552100324453,0.001,,ovr,poly,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'poly'}",0.9992863332823572,0.9992693412176513,0.9995242221882381,0.999609182511767,0.9994562446898896,0.9994290647779807,0.00013275539456444684,57
14,53.78857798576355,0.6074044893072705,30.064508628845214,0.07389003907704757,0.001,,ovr,rbf,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'rbf'}",0.9993543015411803,0.9993373094764745,0.9995751983823554,0.9996261745764727,0.9995412064570943,0.9994868380867153,0.00011840849640469343,55
