,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__decision_function_shape,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.24392414093017578,0.0016321837603322125,0.050159025192260745,0.0004666602703370506,0.001,balanced,ovo,linear,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'linear'}",0.982535575679172,0.9844760672703752,0.9883570504527813,0.9831715210355987,0.9896440129449838,0.9856368454765821,0.0028460502888037354,53
1,0.3697089672088623,0.003939567750480698,0.07227745056152343,0.0007186809795486761,0.001,balanced,ovo,poly,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'poly'}",0.9987063389391979,0.9974126778783958,0.9980595084087969,0.997411003236246,0.9980582524271845,0.9979295561779642,0.000484335027628797,31
2,0.7115047454833985,0.004283702836865734,0.48848590850830076,0.004237295715596303,0.001,balanced,ovo,rbf,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'rbf'}",0.981888745148771,0.981888745148771,0.9857697283311773,0.9825242718446602,0.9864077669902913,0.9836958514927343,0.0019778430855599415,61
3,0.9264400005340576,0.005582468371778236,0.1917248249053955,0.00196634687497296,0.001,balanced,ovo,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'sigmoid'}",0.814359637774903,0.8104786545924968,0.8311772315653299,0.8200647249190939,0.8148867313915857,0.8181933960486818,0.007172598216220462,63
4,0.24468636512756348,0.004409160381377975,0.0502225399017334,0.0005123294648993337,0.001,balanced,ovr,linear,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'linear'}",0.982535575679172,0.9844760672703752,0.9883570504527813,0.9831715210355987,0.9896440129449838,0.9856368454765821,0.0028460502888037354,53
5,0.36894855499267576,0.004134811832390975,0.07223644256591796,0.0007518606701899014,0.001,balanced,ovr,poly,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'poly'}",0.9987063389391979,0.9974126778783958,0.9980595084087969,0.997411003236246,0.9980582524271845,0.9979295561779642,0.000484335027628797,31
6,0.7120982646942139,0.007411494540055559,0.48914566040039065,0.005692662604322391,0.001,balanced,ovr,rbf,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'rbf'}",0.981888745148771,0.981888745148771,0.9857697283311773,0.9825242718446602,0.9864077669902913,0.9836958514927343,0.0019778430855599415,61
7,0.9266651630401611,0.0047672484806178615,0.1913785457611084,0.0014560237921679732,0.001,balanced,ovr,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'sigmoid'}",0.814359637774903,0.8104786545924968,0.8311772315653299,0.8200647249190939,0.8148867313915857,0.8181933960486818,0.007172598216220462,63
8,0.019622802734375,0.00040054502940901335,0.0043451786041259766,9.627093056358863e-05,0.001,,ovo,linear,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'linear'}",0.9877102199223803,0.9877102199223803,0.9877102199223803,0.9883495145631068,0.9877022653721683,0.9878364879404831,0.00025653181110831447,41
9,0.021326637268066405,0.001440385276935185,0.006612443923950195,0.0043039411460813705,0.001,,ovo,poly,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'poly'}",0.9877102199223803,0.9877102199223803,0.9877102199223803,0.9883495145631068,0.9877022653721683,0.9878364879404831,0.00025653181110831447,41
