,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__decision_function_shape,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,45.61042237281799,4.3320021524367895,10.482017660140992,1.0213060614011331,0.001,balanced,ovo,linear,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'linear'}",0.9994324631101021,0.9982973893303064,0.9982973893303064,1.0,0.9982964224872232,0.9988647328515876,0.0007180366504881049,45
1,152.7840859413147,0.956710928666378,36.9305181980133,0.17692282378974417,0.001,balanced,ovo,poly,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'poly'}",0.9982973893303064,0.9948921679909194,0.9971623155505108,0.9994324631101021,0.9960249858035207,0.997161864357072,0.0016055559975116274,53
2,157.09970741271974,1.2767311763998332,56.392678546905515,0.8516566705385311,0.001,balanced,ovo,rbf,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'rbf'}",0.9994324631101021,0.9971623155505108,0.9971623155505108,1.0,0.9988642816581488,0.9985242751738544,0.0011685924465481509,47
3,148.2687442779541,0.40204836084912293,35.49288954734802,0.09677046033925303,0.001,balanced,ovo,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'sigmoid'}",0.9841089670828603,0.9841089670828603,0.985244040862656,0.9880817253121453,0.9863713798977853,0.9855830160476614,0.0015050322538677828,57
4,45.914797163009645,4.364513029103344,10.509630870819091,1.0260207232521767,0.001,balanced,ovr,linear,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'linear'}",0.9994324631101021,0.9982973893303064,0.9982973893303064,1.0,0.9982964224872232,0.9988647328515876,0.0007180366504881049,45
5,154.04843068122864,0.7735932545747082,36.95788736343384,0.1687120360840077,0.001,balanced,ovr,poly,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'poly'}",0.9982973893303064,0.9948921679909194,0.9971623155505108,0.9994324631101021,0.9960249858035207,0.997161864357072,0.0016055559975116274,53
6,157.8674385547638,0.5533668263591172,56.83913969993591,0.6297770855098176,0.001,balanced,ovr,rbf,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'rbf'}",0.9994324631101021,0.9971623155505108,0.9971623155505108,1.0,0.9988642816581488,0.9985242751738544,0.0011685924465481509,47
7,148.22313985824584,0.41919269666914005,35.48572115898132,0.09709526413855062,0.001,balanced,ovr,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': 'balanced', 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'sigmoid'}",0.9841089670828603,0.9841089670828603,0.985244040862656,0.9880817253121453,0.9863713798977853,0.9855830160476614,0.0015050322538677828,57
8,39.51033205986023,3.7495882454544183,9.219029760360717,0.8846780687897126,0.001,,ovo,linear,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'linear'}",1.0,0.9971623155505108,0.9988649262202043,1.0,1.0,0.999205448354143,0.0011121406323646528,37
9,47.21747140884399,0.05623300364214552,11.502559471130372,0.008745857409605913,0.001,,ovo,poly,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'poly'}",0.8683314415437003,0.8683314415437003,0.8677639046538025,0.8677639046538025,0.8682566723452584,0.8680894729480528,0.00026722375247246165,59
10,46.42806897163391,0.04233668575192662,16.943852853775024,0.018614428967843894,0.001,,ovo,rbf,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'rbf'}",0.8683314415437003,0.8683314415437003,0.8677639046538025,0.8677639046538025,0.8682566723452584,0.8680894729480528,0.00026722375247246165,59
11,47.22591180801392,0.3554178385331066,11.312199020385743,0.0034651334125356133,0.001,,ovo,sigmoid,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovo', 'clf__kernel': 'sigmoid'}",0.8683314415437003,0.8683314415437003,0.8677639046538025,0.8677639046538025,0.8682566723452584,0.8680894729480528,0.00026722375247246165,59
12,39.51790742874145,3.7608855689832463,9.21888747215271,0.884771353164995,0.001,,ovr,linear,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'linear'}",1.0,0.9971623155505108,0.9988649262202043,1.0,1.0,0.999205448354143,0.0011121406323646528,37
13,47.22980976104736,0.044397670562340986,11.509671592712403,0.011097349512544426,0.001,,ovr,poly,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'poly'}",0.8683314415437003,0.8683314415437003,0.8677639046538025,0.8677639046538025,0.8682566723452584,0.8680894729480528,0.00026722375247246165,59
14,46.435656261444095,0.020581420039893633,16.98957438468933,0.09708558108304025,0.001,,ovr,rbf,"{'clf__C': 0.001, 'clf__class_weight': None, 'clf__decision_function_shape': 'ovr', 'clf__kernel': 'rbf'}",0.8683314415437003,0.8683314415437003,0.8677639046538025,0.8677639046538025,0.8682566723452584,0.8680894729480528,0.00026722375247246165,59
